auc,ap,f1,th,model,seed
0.7856356113001973,0.5097500768106374,0.5794871794871795,0.3099999999999999,tfidf,0
0.7861912936483523,0.5035793835254492,0.5774278215223098,0.31999999999999984,tfidf,1
0.7858936066761264,0.5145678790682897,0.5867346938775511,0.3099999999999999,tfidf,2
0.7885231749307877,0.5119326956519689,0.589010989010989,0.2599999999999999,tfidf,3
0.7843357115214781,0.5013762752941323,0.5795454545454546,0.34499999999999986,tfidf,4
0.7885926352243071,0.5205454157064985,0.5776699029126213,0.28999999999999987,tfidf,5
0.7872431209502168,0.5120218308467608,0.5801886792452831,0.27999999999999986,tfidf,6
0.7828770453575716,0.5022784983223725,0.5737051792828686,0.22999999999999993,tfidf,7
0.7845937068974072,0.4934237094432459,0.579088471849866,0.31999999999999984,tfidf,8
0.7861416791529814,0.5044839960305396,0.581151832460733,0.3099999999999999,tfidf,9
0.7922938765789814,0.532450998602949,0.5827814569536424,0.2749999999999999,embed,0
0.7954295126864265,0.545253021127382,0.5844748858447488,0.28999999999999987,embed,1
0.7924923345604653,0.532420356158554,0.5785536159600998,0.31999999999999984,embed,2
0.792790021532691,0.541262723145633,0.5916870415647921,0.3099999999999999,embed,3
0.7888307848020877,0.5350887007666236,0.579064587973274,0.27999999999999986,embed,4
0.7952112089067943,0.549713489091249,0.5814977973568282,0.2749999999999999,embed,5
0.7930380940095457,0.5389609876744273,0.5841584158415841,0.31499999999999984,embed,6
0.7909741310021137,0.5297151919477036,0.5778894472361809,0.31999999999999984,embed,7
0.7937624656419618,0.534161083918432,0.5865384615384616,0.3099999999999999,embed,8
0.7884934062335652,0.5323761238418265,0.578005115089514,0.32499999999999984,embed,9
0.792641178046578,0.5313672241332172,0.593607305936073,0.27999999999999986,blend,0
0.7959455034382844,0.5405647251096254,0.589622641509434,0.28999999999999987,blend,1
0.7942784563938201,0.5279125031456237,0.5842217484008528,0.2599999999999999,blend,2
0.7947051410540104,0.5297992467706524,0.6013986013986014,0.28999999999999987,blend,3
0.7913115095706361,0.5265838577279429,0.5844748858447488,0.27999999999999986,blend,4
0.7959554263373586,0.5470639203804292,0.591743119266055,0.28499999999999986,blend,5
0.7943379937882651,0.5333852034447356,0.594847775175644,0.28999999999999987,blend,6
0.7912122805798941,0.5226506362973677,0.5911111111111111,0.2699999999999999,blend,7
0.7934548557706618,0.5200575577406791,0.5938242280285035,0.2949999999999999,blend,8
0.7920358812030522,0.5280190546036687,0.5879732739420935,0.2649999999999999,blend,9
