,E0_anchor,E1_finance,E2_survey,E3_dx_text,E4_org_text,E6_manual,E7_cross,E0b_linear,最大|r|
lr,0.3646124445227894,0.33931528403651245,-0.08199819549577168,0.04232462890363642,0.696114567321636,0.30332841893238094,0.17226864362460276,0.3595835907701302,0.696114567321636
lgbm,0.35686003636651037,0.29067715898145735,-0.05358993109316572,0.0641883366838136,0.5859620115236525,0.29799838231724063,0.1524324599968249,0.32535984232594567,0.5859620115236525
