auc,ap,f1,th,th_fold_std,logloss
0.9275330680611646,0.8200656759169378,0.7211538461538461,0.2049999999999999,0.06159545437773793,0.2908201967190317
0.9287337388491422,0.8197321094636879,0.7277486910994765,0.27999999999999986,0.09479451460923247,0.28795316869358595
0.9290413487204422,0.8257053124435246,0.728538283062645,0.17499999999999993,0.18577943912069483,0.28462814370615264
0.9198725899758873,0.7992208282758884,0.7142857142857143,0.2749999999999999,0.11955751753863068,0.30232809669952937
0.9111205929924486,0.7757346553005764,0.6920980926430518,0.3049999999999999,0.1808590611498356,0.3200385818894849
0.928058981712097,0.8225720234201889,0.7181008902077152,0.37499999999999983,0.09607288899580355,0.289650921585439
0.9253996447602131,0.8205118995553524,0.7146974063400576,0.37499999999999983,0.1385640646055101,0.29360131788583244
0.9248439624120584,0.829771492736426,0.7223719676549866,0.28499999999999986,0.191347850784899,0.2890661369961407
0.9276918344463518,0.8182986343360711,0.7281323877068558,0.18499999999999994,0.14127986409959484,0.28807748176674564
0.9348462446788454,0.8344060587140345,0.7428571428571429,0.34499999999999986,0.10321821544669325,0.2752445049165952
