signal,auc,null_sd,perm_p
E0_anchor,0.48777078965758214,0.07039612911934297,0.8585
E1_finance,0.5709294199860238,0.06762784578621372,0.2915
E2_survey,0.5856044723969253,0.06899441034611824,0.2205
E3_dx_text,0.39343116701607267,0.06921723262672667,0.1285
E4_org_text,0.5115303983228512,0.06932555106856106,0.866
E6_manual,0.41928721174004197,0.07083770905408106,0.2775
不一致(std),0.6023759608665269,0.06997907881794342,0.1445
不一致(range),0.6065688329839273,0.0699267983984353,0.122
