auc,ap,f1,th,model,seed
0.6690613929765721,0.36365763575099064,0.47035573122529645,0.24499999999999988,org,0
0.6602697043968365,0.3516306173792899,0.4522417153996101,0.24499999999999988,org,1
0.6724351786617978,0.3806352932212281,0.4600760456273764,0.23999999999999988,org,2
0.6787560653720591,0.3777101156435736,0.4621676891615542,0.2499999999999999,org,3
0.6691308532700913,0.3714403488087295,0.4538152610441767,0.2499999999999999,org,4
0.6464570288855592,0.3521471084151231,0.43902439024390244,0.1999999999999999,org,5
0.6727824801293946,0.36444429297536146,0.45203252032520325,0.21999999999999992,org,6
0.6697857646089881,0.35500037040026,0.4646098003629764,0.23499999999999993,org,7
0.6746876767516398,0.3637002147799691,0.46616541353383456,0.23999999999999988,org,8
0.668029411472856,0.3638127534106308,0.4693140794223827,0.23499999999999993,org,9
0.701826805719559,0.3946793830515898,0.4952015355086372,0.24499999999999988,concat,0
0.6979667979796977,0.396160965045857,0.4859154929577465,0.22999999999999993,concat,1
0.7124542306280203,0.4100579662190458,0.4957627118644068,0.2549999999999999,concat,2
0.7128213778937653,0.4217881970576167,0.49416342412451364,0.24499999999999988,concat,3
0.7020550323982655,0.3939636920565912,0.5010799136069114,0.2599999999999999,concat,4
0.6937098742768686,0.39824656031690486,0.4827586206896552,0.2599999999999999,concat,5
0.7153715629558332,0.40904050269542114,0.4962121212121212,0.23999999999999988,concat,6
0.7058654256427557,0.39538981222610514,0.4923747276688453,0.2649999999999999,concat,7
0.7072744773112912,0.39490607358777363,0.4911591355599214,0.24499999999999988,concat,8
0.7089117556585331,0.4080957050820836,0.4957983193277311,0.2599999999999999,concat,9
0.6922115165166656,0.37898781325574676,0.4806201550387597,0.23999999999999988,ovw,0
0.69664705240283,0.3893679495401309,0.49910873440285203,0.22999999999999993,ovw,1
0.7073737063020331,0.3909852590048212,0.4965277777777778,0.21999999999999992,ovw,2
0.7000109151889816,0.4029602197411375,0.4862068965517241,0.21999999999999992,ovw,3
0.6867936136221559,0.3702099737825598,0.48398576512455516,0.22499999999999992,ovw,4
0.6917550631592526,0.39099631498013104,0.48073394495412847,0.22999999999999993,ovw,5
0.7062722645047977,0.4022927688886304,0.5028790786948176,0.23999999999999988,ovw,6
0.6985820177222978,0.3856620174022981,0.484375,0.24499999999999988,ovw,7
0.6940174841481686,0.373578848516265,0.5009074410163339,0.22999999999999993,ovw,8
0.7032755489843914,0.39493280449214985,0.4955116696588869,0.22999999999999993,ovw,9
