dim,C,auc,ap,f1,th
3072,3.0,0.6819214701767268,0.38398451614188495,0.4752851711026616,0.23499999999999993
1024,1.0,0.6795796659952171,0.3832529865708072,0.469601677148847,0.2549999999999999
1024,3.0,0.6785278386933526,0.3821420021135123,0.47195357833655704,0.24499999999999988
3072,1.0,0.681107792452643,0.3812926668712918,0.47191011235955055,0.23999999999999988
512,1.0,0.6730702442025461,0.38092097994947804,0.4612546125461255,0.23999999999999988
1024,0.1,0.6763745695942527,0.38012045268213235,0.4509394572025052,0.24499999999999988
3072,0.1,0.6786667592803914,0.37951207470948295,0.4666666666666667,0.24499999999999988
1024,0.3,0.678240074620201,0.3794931242144501,0.4574468085106383,0.23999999999999988
3072,0.3,0.6802742689304107,0.37946489086706425,0.46393762183235865,0.24499999999999988
3072,0.03,0.6748762118340494,0.37785743547682415,0.45625,0.23999999999999988
512,3.0,0.6711650475803012,0.3766977414533935,0.4574468085106383,0.22499999999999992
512,0.3,0.6717604215247527,0.3766704441638354,0.45,0.23999999999999988
1024,0.03,0.6724550244599462,0.37603807449307525,0.447900466562986,0.23999999999999988
512,0.1,0.6695476150312074,0.3718644051673521,0.44306418219461696,0.24499999999999988
512,0.03,0.6660547545570914,0.3705982527170791,0.441400304414003,0.23999999999999988
256,3.0,0.6630679619357591,0.36987621011853666,0.45081967213114754,0.2549999999999999
256,1.0,0.6652013852367108,0.3676683102323259,0.449438202247191,0.2649999999999999
256,0.3,0.6643480159163301,0.35956312389164186,0.45024469820554647,0.23499999999999993
256,0.1,0.6633061115135399,0.3570840862580872,0.4497444633730835,0.23999999999999988
256,0.03,0.6600514006172042,0.3555240062301664,0.43730886850152906,0.23999999999999988
