setting,name,auc_mean,auc_std,ap_mean,ap_std,f1_mean,f1_std,th_mean,th_std
"char_wb(1,3)",H12-1 full,0.786107941296129,0.001486525131739086,0.508329662553066,0.005160591883475069,0.5820824896434644,0.004732079804014485,0.31899999999999984,0.015165750888103081
"char_wb(1,3)",H12-2 current,0.7895710330730227,0.0031169719846632082,0.516101124231698,0.007772040244576767,0.5881588375554598,0.006426263102311749,0.3029999999999998,0.008366600265340727
"char_wb(1,3)",H12-3 future,0.7789098703077091,0.0011818751827247596,0.49313528805815576,0.0020201842375802024,0.5715794273313363,0.004956312979520154,0.2739999999999999,0.024849547279578336
"char_wb(1,3)",H12-4 current|future,0.786921619020213,0.0022059722781032835,0.5065980943124142,0.003788872873174485,0.581619746679521,0.00548620841519755,0.2939999999999999,0.029874738492579305
"char_wb(1,3)",H12-5 full|future,0.7834624964029491,0.001426224742467919,0.5025459358951598,0.0020245046348836768,0.5774329789122852,0.001991505159829925,0.2629999999999999,0.032326459750489214
"char_wb(1,3)",H12-6 full|current|future,0.7869017732220646,0.0020204811092055072,0.5069941223299004,0.00374449597076313,0.5815746851825858,0.005912430902390893,0.2689999999999999,0.03070016286601749
"char(2,6)",H12-1 full,0.788876430137829,0.0009083003597244747,0.5084573952806276,0.0038929863830508196,0.5809537663855395,0.00519820908422895,0.3039999999999999,0.00651920240520265
"char(2,6)",H12-2 current,0.7895511872748743,0.0026978298730559644,0.51109953913238,0.006202574300097383,0.5819576545708381,0.003701847880314837,0.27899999999999986,0.023021728866442666
"char(2,6)",H12-3 future,0.7817875110392253,0.0016028692033025179,0.49451932181775893,0.00508519658964856,0.571353536843827,0.004325999948339292,0.2839999999999999,0.023291629397704218
"char(2,6)",H12-4 current|future,0.7894221895869097,0.0017256375118606723,0.5062161077403584,0.005120849204188308,0.5836913139228634,0.0035576297055855796,0.31299999999999983,0.013038404810405293
"char(2,6)",H12-5 full|future,0.7872530438492911,0.0014469240572172353,0.5045719920760281,0.00494239597527273,0.5783469052077023,0.006420747358381659,0.29099999999999987,0.016733200530681492
"char(2,6)",H12-6 full|current|future,0.7898151363902477,0.0015539145893457907,0.5069267432580549,0.004742259025986109,0.5811950201194345,0.003971848674999976,0.2719999999999999,0.04698403984333401
