variant,seed,n_feat,auc,ap,f1,th
S0_現行,0,12,0.6726435595423559,0.40327062450836704,0.46715328467153283,0.28999999999999987
S0_現行,1,12,0.6733778540738461,0.39224315752969197,0.4664310954063604,0.2049999999999999
S0_現行,2,12,0.6771187870248172,0.3976383421137198,0.4595300261096606,0.31499999999999984
S0_現行,3,12,0.6745289103664526,0.4190224559376756,0.46029173419773095,0.18499999999999994
S0_現行,4,12,0.6755311231729462,0.41651699200207454,0.4553415061295972,0.2049999999999999
S0_現行,5,12,0.6596544846542365,0.3946293524569879,0.44745762711864406,0.19499999999999995
S0_現行,6,12,0.6686843228117527,0.40107262202649085,0.45454545454545453,0.17999999999999994
S0_現行,7,12,0.6637923335681752,0.3996071142915669,0.44789356984478934,0.2749999999999999
S0_現行,8,12,0.6697460730126914,0.40722092906899976,0.4485981308411215,0.16999999999999993
S0_現行,9,12,0.6774561655933398,0.42693432710681534,0.4558303886925795,0.2099999999999999
S0_現行,10,12,0.6650723875487461,0.4003464699550859,0.44782608695652176,0.2549999999999999
S0_現行,11,12,0.6870119174017881,0.4270993807381248,0.4669421487603306,0.2499999999999999
S0_現行,12,12,0.6716115780386398,0.41302963607840104,0.45076586433260396,0.2699999999999999
S0_現行,13,12,0.6768310229516656,0.40287069753080895,0.4610169491525424,0.1999999999999999
S0_現行,14,12,0.6776050090794528,0.4176719985247589,0.4565916398713826,0.17999999999999994
S0_現行,15,12,0.662958810045943,0.39381311373282957,0.43947858472998136,0.21999999999999992
S0_現行,16,12,0.6879149012175397,0.4300924692570228,0.47240618101545256,0.2649999999999999
S0_現行,17,12,0.6797086636831816,0.4113063976001992,0.4697986577181208,0.2649999999999999
S0_現行,18,12,0.6615993728727786,0.39806423903314603,0.4483870967741935,0.17999999999999994
S0_現行,19,12,0.6717604215247527,0.41666725198860105,0.44939965694682676,0.1999999999999999
S1_fill,0,12,0.6731198586979172,0.4028099376312028,0.4714285714285714,0.28499999999999986
S1_fill,1,12,0.6736160036516268,0.39169064733721265,0.46551724137931033,0.1999999999999999
S1_fill,2,12,0.6777538525655654,0.3976063142937888,0.4582441113490364,0.2549999999999999
S1_fill,3,12,0.6750746698155333,0.4192193745063572,0.461038961038961,0.18499999999999994
S1_fill,4,12,0.675620429264614,0.41525876538309436,0.45438898450946646,0.1999999999999999
S1_fill,5,12,0.6599918632227593,0.39528930669449713,0.44680851063829785,0.2049999999999999
S1_fill,6,12,0.6689125494904591,0.40065728133400424,0.45663716814159294,0.1999999999999999
S1_fill,7,12,0.6640404060450301,0.4002582905591981,0.4469026548672566,0.2749999999999999
S1_fill,8,12,0.6699445309941752,0.4073714897084283,0.4507042253521127,0.16999999999999993
S1_fill,9,12,0.6773370908044494,0.42619519245279447,0.4547069271758437,0.2099999999999999
S1_fill,10,12,0.6658166049793107,0.40207130230269894,0.4532488114104596,0.17499999999999993
S1_fill,11,12,0.6873096043740139,0.428016750612948,0.46511627906976744,0.2099999999999999
S1_fill,12,12,0.6718993421117914,0.41342643609097124,0.450261780104712,0.2099999999999999
S1_fill,13,12,0.6775851632813042,0.4033651349563887,0.4617996604414261,0.1999999999999999
S1_fill,14,12,0.6777736983637139,0.4155935044063536,0.4565916398713826,0.17999999999999994
S1_fill,15,12,0.6632664199172431,0.39498630472090857,0.4405797101449275,0.32999999999999985
S1_fill,16,12,0.6884805064647688,0.4313992612852669,0.4698275862068966,0.2599999999999999
S1_fill,17,12,0.6806414161961558,0.41267839048320715,0.46770601336302897,0.2649999999999999
S1_fill,18,12,0.6620855949274139,0.3978794294267619,0.4506578947368421,0.18499999999999994
S1_fill,19,12,0.6721176458914238,0.41650973093758537,0.4528301886792453,0.1999999999999999
shape,0,16,0.6714925032497495,0.40112445966645116,0.46153846153846156,0.2699999999999999
shape,1,16,0.6717504986256784,0.3916913359373474,0.4674457429048414,0.18999999999999995
shape,2,16,0.68526548716473,0.4134660081034399,0.4883227176220807,0.2549999999999999
shape,3,16,0.6750945156136816,0.41229728162385704,0.46869983948635635,0.17999999999999994
shape,4,16,0.6687835518024946,0.4072576352345694,0.45471349353049906,0.2149999999999999
shape,5,16,0.6521825416513688,0.3904109741508207,0.45484949832775917,0.18999999999999995
shape,6,16,0.6668684322811753,0.400737799710537,0.45964912280701753,0.19499999999999995
shape,7,16,0.6664715163182076,0.411998402834981,0.44545454545454544,0.16499999999999992
shape,8,16,0.6665806682080235,0.39837964623919714,0.458041958041958,0.2049999999999999
shape,9,16,0.6765234130803657,0.4188530793112597,0.46153846153846156,0.19499999999999995
shape,10,16,0.6668485864830269,0.40351713113727045,0.45607476635514016,0.21999999999999992
shape,11,16,0.6915962967740654,0.4387342458525492,0.4723618090452261,0.19499999999999995
shape,12,16,0.6750647469164591,0.41845846050102514,0.46283783783783783,0.1999999999999999
shape,13,16,0.6782797662164979,0.40232483097753646,0.46557377049180326,0.18999999999999995
shape,14,16,0.6697857646089881,0.4071810116675781,0.45161290322580644,0.18999999999999995
shape,15,16,0.6642487869255882,0.3946568536580216,0.45136186770428016,0.23499999999999993
shape,16,16,0.6907330045546105,0.4350286264048866,0.4745011086474501,0.2649999999999999
shape,17,16,0.6767814084562946,0.41083229858629283,0.45652173913043476,0.2149999999999999
shape,18,16,0.6567669210236463,0.3959359916042578,0.4540540540540541,0.2099999999999999
shape,19,16,0.6747472141460849,0.41336421784990407,0.45544554455445546,0.23999999999999988
step,0,16,0.6778729273544559,0.42008033405436906,0.47808764940239046,0.23999999999999988
step,1,16,0.6809887176637527,0.4088603164166148,0.4678362573099415,0.22499999999999992
step,2,16,0.6853746390545461,0.4117959722129376,0.4742647058823529,0.2149999999999999
step,3,16,0.6806314932970817,0.42841143353601224,0.46741573033707867,0.2749999999999999
step,4,16,0.6912886869027655,0.4317670557868728,0.47695390781563124,0.23499999999999993
step,5,16,0.6699544538932494,0.41170150952402207,0.4560810810810811,0.18499999999999994
step,6,16,0.6826259960109946,0.4220504524489093,0.4716312056737589,0.1999999999999999
step,7,16,0.6736060807525527,0.4166658930961531,0.45222929936305734,0.17499999999999993
step,8,16,0.678855294362801,0.41996583117770847,0.45993031358885017,0.19499999999999995
step,9,16,0.6857120176230687,0.4354949927255749,0.46440677966101696,0.18999999999999995
step,10,16,0.6755410460720204,0.41745451555071217,0.4563758389261745,0.18499999999999994
step,11,16,0.7008742074084364,0.4402647740461075,0.4727272727272727,0.18499999999999994
step,12,16,0.6793315935183624,0.42847585001020894,0.4691358024691358,0.2049999999999999
step,13,16,0.6890758804092204,0.4240065112226672,0.466557911908646,0.17999999999999994
step,14,16,0.6865852327415978,0.42939330783538254,0.4722222222222222,0.1999999999999999
step,15,16,0.6741716859997816,0.40638660323596,0.45962732919254656,0.16499999999999992
step,16,16,0.690752850352759,0.43654424200061415,0.46942148760330576,0.18499999999999994
step,17,16,0.6922412852138881,0.4330716530152112,0.49023861171366595,0.2599999999999999
step,18,16,0.6724748702580946,0.4155392622254584,0.4584837545126354,0.2099999999999999
step,19,16,0.6839556644869365,0.4331851040426944,0.4618055555555556,0.19499999999999995
gap,0,16,0.6639014854579914,0.39015127211174766,0.45765765765765765,0.2149999999999999
gap,1,16,0.6650723875487462,0.38012064908769516,0.4525043177892919,0.1999999999999999
gap,2,16,0.6739037677247786,0.3938594897039771,0.45885286783042395,0.2999999999999999
gap,3,16,0.6727626343312463,0.41059365739353504,0.4578313253012048,0.1999999999999999
gap,4,16,0.6630977306329817,0.39654616700593437,0.45,0.2099999999999999
gap,5,16,0.6556853250245591,0.38858814120757046,0.44516129032258067,0.18499999999999994
gap,6,16,0.6660746003552399,0.39215500562872674,0.45674740484429066,0.19499999999999995
gap,7,16,0.662343590303343,0.39535462436642316,0.4470588235294118,0.28999999999999987
gap,8,16,0.6551693342727012,0.39150720733749117,0.4434250764525994,0.16499999999999992
gap,9,16,0.6736060807525526,0.4213931695828276,0.45936395759717313,0.2099999999999999
gap,10,16,0.6545243458328787,0.3866523487833861,0.44485981308411215,0.21999999999999992
gap,11,16,0.6785576073905752,0.4158617696410081,0.46484375,0.23499999999999993
gap,12,16,0.6652212310348591,0.40810792157524217,0.4478178368121442,0.23499999999999993
gap,13,16,0.6703612927552913,0.39906140513803634,0.4602076124567474,0.2049999999999999
gap,14,16,0.6740228425136688,0.41435948840273373,0.45454545454545453,0.23499999999999993
gap,15,16,0.658245432985701,0.381063592377692,0.44565217391304346,0.2149999999999999
gap,16,16,0.6815840916082043,0.4236200074696508,0.4592901878914405,0.2549999999999999
gap,17,16,0.6768905603461106,0.40209702918894874,0.45972495088408644,0.23499999999999993
gap,18,16,0.6565585401430881,0.381237594869197,0.4444444444444444,0.16999999999999993
gap,19,16,0.666392133125614,0.40828651565094143,0.4469820554649266,0.18499999999999994
all,0,24,0.669726227214543,0.4012969724820184,0.45595854922279794,0.18999999999999995
all,1,24,0.6759081933377656,0.393459134951403,0.4631268436578171,0.13999999999999996
all,2,24,0.6881728965934688,0.4111450884259764,0.47953216374269003,0.22999999999999993
all,3,24,0.682903837185072,0.4265990342661776,0.4770992366412214,0.22499999999999992
all,4,24,0.6710261269932624,0.4033139972641879,0.46098003629764067,0.2049999999999999
all,5,24,0.6587415779394108,0.3923357294216897,0.44878048780487806,0.17499999999999993
all,6,24,0.6763547237961043,0.40796025547011194,0.47039473684210525,0.17499999999999993
all,7,24,0.6760173452275816,0.41389130186335504,0.46296296296296297,0.2099999999999999
all,8,24,0.6583744306736655,0.3921920348606348,0.4540901502504174,0.17999999999999994
all,9,24,0.6851067207795428,0.42483310190706675,0.4627450980392157,0.22999999999999993
all,10,24,0.6675332665191462,0.4085487431435628,0.45472061657032753,0.2149999999999999
all,11,24,0.6967859729898688,0.4319593922191438,0.4803312629399586,0.23999999999999988
all,12,24,0.6774859342905623,0.41747968779123923,0.46494464944649444,0.2149999999999999
all,13,24,0.6845311926332396,0.4136600202565561,0.4703891708967851,0.18499999999999994
all,14,24,0.6794804370044752,0.41449257641017245,0.46184738955823296,0.22999999999999993
all,15,24,0.6708971293052977,0.3934326021476348,0.46394984326018807,0.16499999999999992
all,16,24,0.6896811772527461,0.4314909829430562,0.4679245283018868,0.2149999999999999
all,17,24,0.6836282088174881,0.41754651946972127,0.46502057613168724,0.2499999999999999
all,18,24,0.6615894499737043,0.3966241857803279,0.45222929936305734,0.16499999999999992
all,19,24,0.6794605912063267,0.41702458666903786,0.4578696343402226,0.16999999999999993
shape+fill,0,16,0.6722069519830913,0.4020582232324504,0.4604966139954853,0.2699999999999999
shape+fill,1,16,0.6719688024053108,0.3918091404474239,0.4656616415410385,0.18999999999999995
shape+fill,2,16,0.68557309703603,0.41391247578160356,0.4847250509164969,0.24499999999999988
shape+fill,3,16,0.6757891185488752,0.4141605573750948,0.46869983948635635,0.17999999999999994
shape+fill,4,16,0.6692598509580561,0.4071138007417712,0.45692883895131087,0.21999999999999992
shape+fill,5,16,0.6529466048800817,0.390591269668986,0.45302013422818793,0.18999999999999995
shape+fill,6,16,0.6671760421524753,0.4007047591600831,0.45964912280701753,0.19499999999999995
shape+fill,7,16,0.6669577383728431,0.4126280969303473,0.44613050075872535,0.16499999999999992
