setting,alpha,AUC,AP,F1,threshold,section,base_AUC,base_AP,base_F1,base_threshold,candidate_AUC,candidate_AP,candidate_F1,candidate_threshold,delta_AUC,delta_AP,delta_F1,H40_weight
E12_affordability,auto,0.6152016205012247,0.33861921030893755,0.43125,0.24499999999999988,auto_or_single,,,,,,,,,,,,
exp032_auto,auto,0.9400555869606181,0.82559332412096,0.7773279352226721,0.34499999999999986,auto_or_single,,,,,,,,,,,,
exp032_plus_H40_auto,auto,0.9401026945543621,0.8256681498090827,0.7773279352226721,0.34499999999999986,auto_or_single,,,,,,,,,,,,
fixed_alpha_pair,0.001,,,,,fixed_alpha,0.9470981722253626,0.8388944763465435,0.7876447876447876,0.2549999999999999,0.9470981722253626,0.8388944763465435,0.7876447876447876,0.2549999999999999,0.0,0.0,0.0,0.0
fixed_alpha_pair,0.003,,,,,fixed_alpha,0.94763990955342,0.8416896072491951,0.7936507936507936,0.28999999999999987,0.94763990955342,0.8416896072491951,0.7936507936507936,0.28999999999999987,0.0,0.0,0.0,0.0
fixed_alpha_pair,0.01,,,,,fixed_alpha,0.9468861880535142,0.8429577601585503,0.7984496124031008,0.28499999999999986,0.9468861880535142,0.8429577601585503,0.7984496124031008,0.28499999999999986,0.0,0.0,0.0,0.0
fixed_alpha_pair,0.03,,,,,fixed_alpha,0.9459440361786321,0.8438769862331994,0.7936507936507936,0.31499999999999984,0.9459440361786321,0.8438769862331994,0.7936507936507936,0.31499999999999984,0.0,0.0,0.0,0.0
