,E0_anchor,E1_finance,E2_survey,E3_dx_text,E4_org_text,E6_manual,E7_cross,E0b_linear
0,14.961763359575455,11.9403320672837,27.763346238386287,0.036978976987063046,18.913265286219485,4.279434978872294,9.254302806544343,12.85057628613138
1,13.491795911239768,12.835475656982403,27.249011319748924,0.0,17.475706521989505,4.7339740795460274,9.83048175896557,14.3835547515278
2,14.023514470109092,13.821111856084393,23.851799248512066,0.0,17.246994327045872,5.926132006597161,12.222635616961188,12.907812474690243
3,10.372187594572031,11.460431376342028,26.823379904259536,0.0,20.728708614245562,4.9440761418067956,11.632811351324127,14.038405017449909
4,8.041179759633858,10.253787661931367,23.734150425961214,0.0,23.276036086563035,6.909688247817559,12.508291944861941,15.27686587323102
5,16.230978914449505,15.424227624286118,21.14897298361261,0.0,11.66278654737613,4.146059142673128,13.921328712811151,17.465646074791355
6,10.652306798455097,13.99048377691268,26.73465501386324,0.0,17.58225546066057,4.002759121844664,8.777618729664447,18.259921098599307
7,16.62451181115792,11.956858641177885,23.778465094482808,0.0,19.559905854682285,2.281712815524464,12.599526066640438,13.199019716334192
8,14.993730775230944,13.548816164641417,24.647155510188963,0.10566811587431015,14.114673212766327,3.126778427611913,11.353204183998951,18.10997360968717
9,16.256611793923938,14.245299316494053,27.144349633514153,0.09733165097534703,12.86146299721982,3.092928636021439,8.55394613830968,17.74806983354157
