name,seed,fold,fold_f1,fold_th,text_version
"H10-1 char_wb(1,3)",0,0,0.5882352941176471,0.22999999999999993,raw
"H10-1 char_wb(1,3)",0,1,0.651685393258427,0.2949999999999999,raw
"H10-1 char_wb(1,3)",0,2,0.5581395348837209,0.2749999999999999,raw
"H10-1 char_wb(1,3)",0,3,0.55,0.27999999999999986,raw
"H10-1 char_wb(1,3)",0,4,0.6391752577319587,0.22999999999999993,raw
"H10-1 char_wb(1,3)",1,0,0.6086956521739131,0.2499999999999999,raw
"H10-1 char_wb(1,3)",1,1,0.5934065934065934,0.2549999999999999,raw
"H10-1 char_wb(1,3)",1,2,0.575,0.32999999999999985,raw
"H10-1 char_wb(1,3)",1,3,0.6373626373626373,0.21999999999999992,raw
"H10-1 char_wb(1,3)",1,4,0.6111111111111112,0.3549999999999998,raw
"H10-1 char_wb(1,3)",2,0,0.5974025974025974,0.31499999999999984,raw
"H10-1 char_wb(1,3)",2,1,0.5866666666666667,0.3049999999999999,raw
"H10-1 char_wb(1,3)",2,2,0.6197183098591549,0.32999999999999985,raw
"H10-1 char_wb(1,3)",2,3,0.5714285714285714,0.22499999999999992,raw
"H10-1 char_wb(1,3)",2,4,0.6585365853658537,0.2949999999999999,raw
"H10-1 char_wb(1,3)",3,0,0.5882352941176471,0.2599999999999999,raw
"H10-1 char_wb(1,3)",3,1,0.5192307692307693,0.22999999999999993,raw
"H10-1 char_wb(1,3)",3,2,0.627906976744186,0.2649999999999999,raw
"H10-1 char_wb(1,3)",3,3,0.6933333333333334,0.3099999999999999,raw
"H10-1 char_wb(1,3)",3,4,0.5882352941176471,0.33999999999999986,raw
"H10-1 char_wb(1,3)",4,0,0.5714285714285714,0.2549999999999999,raw
"H10-1 char_wb(1,3)",4,1,0.62,0.22499999999999992,raw
"H10-1 char_wb(1,3)",4,2,0.5346534653465347,0.2499999999999999,raw
"H10-1 char_wb(1,3)",4,3,0.6329113924050633,0.34499999999999986,raw
"H10-1 char_wb(1,3)",4,4,0.7323943661971831,0.34499999999999986,raw
"H10-2 char(1,3)",0,0,0.5882352941176471,0.22999999999999993,raw
"H10-2 char(1,3)",0,1,0.651685393258427,0.2949999999999999,raw
"H10-2 char(1,3)",0,2,0.5581395348837209,0.2749999999999999,raw
"H10-2 char(1,3)",0,3,0.5567010309278351,0.23999999999999988,raw
"H10-2 char(1,3)",0,4,0.6458333333333334,0.22999999999999993,raw
"H10-2 char(1,3)",1,0,0.6086956521739131,0.2499999999999999,raw
"H10-2 char(1,3)",1,1,0.5957446808510638,0.24499999999999988,raw
"H10-2 char(1,3)",1,2,0.575,0.32999999999999985,raw
"H10-2 char(1,3)",1,3,0.6373626373626373,0.21999999999999992,raw
"H10-2 char(1,3)",1,4,0.6111111111111112,0.3549999999999998,raw
"H10-2 char(1,3)",2,0,0.5974025974025974,0.31499999999999984,raw
"H10-2 char(1,3)",2,1,0.5866666666666667,0.3049999999999999,raw
"H10-2 char(1,3)",2,2,0.6197183098591549,0.32999999999999985,raw
"H10-2 char(1,3)",2,3,0.5714285714285714,0.22499999999999992,raw
"H10-2 char(1,3)",2,4,0.6585365853658537,0.2949999999999999,raw
"H10-2 char(1,3)",3,0,0.5909090909090909,0.3099999999999999,raw
"H10-2 char(1,3)",3,1,0.5192307692307693,0.22999999999999993,raw
"H10-2 char(1,3)",3,2,0.627906976744186,0.2649999999999999,raw
"H10-2 char(1,3)",3,3,0.7027027027027027,0.31999999999999984,raw
"H10-2 char(1,3)",3,4,0.5897435897435898,0.28499999999999986,raw
"H10-2 char(1,3)",4,0,0.5714285714285714,0.2549999999999999,raw
"H10-2 char(1,3)",4,1,0.62,0.22499999999999992,raw
"H10-2 char(1,3)",4,2,0.5346534653465347,0.2499999999999999,raw
"H10-2 char(1,3)",4,3,0.6329113924050633,0.34499999999999986,raw
"H10-2 char(1,3)",4,4,0.7323943661971831,0.34499999999999986,raw
"H10-3 char(2,4)",0,0,0.5925925925925926,0.2049999999999999,raw
"H10-3 char(2,4)",0,1,0.651685393258427,0.28999999999999987,raw
"H10-3 char(2,4)",0,2,0.5517241379310345,0.2749999999999999,raw
"H10-3 char(2,4)",0,3,0.5714285714285714,0.27999999999999986,raw
"H10-3 char(2,4)",0,4,0.631578947368421,0.22999999999999993,raw
"H10-3 char(2,4)",1,0,0.6285714285714286,0.33499999999999985,raw
"H10-3 char(2,4)",1,1,0.5918367346938775,0.22999999999999993,raw
"H10-3 char(2,4)",1,2,0.5679012345679012,0.31999999999999984,raw
"H10-3 char(2,4)",1,3,0.6373626373626373,0.21999999999999992,raw
"H10-3 char(2,4)",1,4,0.6216216216216216,0.33999999999999986,raw
"H10-3 char(2,4)",2,0,0.5866666666666667,0.31999999999999984,raw
"H10-3 char(2,4)",2,1,0.5866666666666667,0.2949999999999999,raw
"H10-3 char(2,4)",2,2,0.6197183098591549,0.31999999999999984,raw
"H10-3 char(2,4)",2,3,0.5663716814159292,0.22499999999999992,raw
"H10-3 char(2,4)",2,4,0.651685393258427,0.2649999999999999,raw
"H10-3 char(2,4)",3,0,0.5806451612903226,0.2999999999999999,raw
"H10-3 char(2,4)",3,1,0.525,0.28999999999999987,raw
"H10-3 char(2,4)",3,2,0.6086956521739131,0.22999999999999993,raw
"H10-3 char(2,4)",3,3,0.7027027027027027,0.31499999999999984,raw
"H10-3 char(2,4)",3,4,0.5915492957746479,0.32999999999999985,raw
"H10-3 char(2,4)",4,0,0.5609756097560976,0.2599999999999999,raw
"H10-3 char(2,4)",4,1,0.6138613861386139,0.2149999999999999,raw
"H10-3 char(2,4)",4,2,0.5391304347826087,0.21999999999999992,raw
"H10-3 char(2,4)",4,3,0.6153846153846154,0.33999999999999986,raw
"H10-3 char(2,4)",4,4,0.7297297297297297,0.32999999999999985,raw
"H10-4 char(2,6)",0,0,0.5925925925925926,0.2099999999999999,raw
"H10-4 char(2,6)",0,1,0.6506024096385542,0.3099999999999999,raw
"H10-4 char(2,6)",0,2,0.5555555555555556,0.31999999999999984,raw
"H10-4 char(2,6)",0,3,0.5526315789473685,0.27999999999999986,raw
"H10-4 char(2,6)",0,4,0.6458333333333334,0.22499999999999992,raw
"H10-4 char(2,6)",1,0,0.6285714285714286,0.32999999999999985,raw
"H10-4 char(2,6)",1,1,0.5979381443298969,0.22999999999999993,raw
"H10-4 char(2,6)",1,2,0.5641025641025641,0.31999999999999984,raw
"H10-4 char(2,6)",1,3,0.6444444444444445,0.22499999999999992,raw
"H10-4 char(2,6)",1,4,0.6216216216216216,0.32999999999999985,raw
"H10-4 char(2,6)",2,0,0.5846153846153846,0.3599999999999998,raw
"H10-4 char(2,6)",2,1,0.5866666666666667,0.28499999999999986,raw
"H10-4 char(2,6)",2,2,0.6176470588235294,0.32999999999999985,raw
"H10-4 char(2,6)",2,3,0.5675675675675675,0.32499999999999984,raw
"H10-4 char(2,6)",2,4,0.6444444444444445,0.2549999999999999,raw
"H10-4 char(2,6)",3,0,0.5869565217391305,0.2999999999999999,raw
"H10-4 char(2,6)",3,1,0.5277777777777778,0.31499999999999984,raw
"H10-4 char(2,6)",3,2,0.6086956521739131,0.22499999999999992,raw
"H10-4 char(2,6)",3,3,0.6944444444444444,0.32499999999999984,raw
"H10-4 char(2,6)",3,4,0.5866666666666667,0.3099999999999999,raw
"H10-4 char(2,6)",4,0,0.5542168674698795,0.2499999999999999,raw
"H10-4 char(2,6)",4,1,0.6336633663366337,0.22499999999999992,raw
"H10-4 char(2,6)",4,2,0.54,0.2499999999999999,raw
"H10-4 char(2,6)",4,3,0.6097560975609756,0.32499999999999984,raw
"H10-4 char(2,6)",4,4,0.7341772151898734,0.2949999999999999,raw
"H10-5 char(3,6)",0,0,0.5981308411214953,0.2149999999999999,raw
"H10-5 char(3,6)",0,1,0.6410256410256411,0.31999999999999984,raw
"H10-5 char(3,6)",0,2,0.56,0.2999999999999999,raw
"H10-5 char(3,6)",0,3,0.5526315789473685,0.27999999999999986,raw
"H10-5 char(3,6)",0,4,0.6391752577319587,0.22499999999999992,raw
"H10-5 char(3,6)",1,0,0.6301369863013698,0.31499999999999984,raw
"H10-5 char(3,6)",1,1,0.5952380952380952,0.2749999999999999,raw
"H10-5 char(3,6)",1,2,0.5647058823529412,0.2999999999999999,raw
"H10-5 char(3,6)",1,3,0.6444444444444445,0.22999999999999993,raw
"H10-5 char(3,6)",1,4,0.6301369863013698,0.32999999999999985,raw
"H10-5 char(3,6)",2,0,0.5945945945945946,0.31999999999999984,raw
"H10-5 char(3,6)",2,1,0.5909090909090909,0.2499999999999999,raw
"H10-5 char(3,6)",2,2,0.6176470588235294,0.32499999999999984,raw
"H10-5 char(3,6)",2,3,0.5753424657534246,0.32999999999999985,raw
"H10-5 char(3,6)",2,4,0.65,0.2949999999999999,raw
