alpha,seed,d_auc,d_ap,d_f1,e11_weight_pct
0.001,0,-0.00024807247685476597,0.0025671648546060633,-0.01114877874787723,11.734098916684232
0.001,1,-0.0006846800361195449,-0.0007797974818574138,-0.004383594547529013,4.4670122986541125
0.001,2,0.00037707016481947075,0.0016226574051864118,-0.0021333940165408904,7.823749298199601
0.001,3,-0.00037707016481935973,-0.0003258648656462304,-0.002046035805626678,4.95131462886065
0.001,4,0.00029768697222576357,0.0034158208363993525,-0.009136950904392704,8.872321600381774
0.001,5,-0.0008732151185291137,-0.0010055207213032213,-0.010582309200965145,6.553800883478269
0.001,6,0.00010915188981619472,0.0006676079969238913,0.008721804511278242,7.322013544127304
0.001,7,-0.0026097224565129196,-0.005256273139205847,-0.0011460248927267491,4.830198876580312
0.001,8,-0.0006350655407483252,-0.0007953354004524016,0.005479498246560577,5.786295676136074
0.001,9,-0.0009228296139000003,-0.002391196441068444,-0.0002580719160405476,7.842602423412058
0.003,0,0.000248072476854877,0.0035509972594545136,-0.004400440044004417,11.926540419600235
0.003,1,-0.0007442174305645199,-0.0008798001309847647,0.003275710605857518,5.222049530968042
0.003,2,0.00043660755926444583,0.0014639522970130159,-0.006282722513088923,8.407666403033916
0.003,3,0.00017861218333548035,0.0006492936627718882,0.004081632653061273,5.886462642300782
0.003,4,0.00031753277037427363,0.0038891748696688877,-0.00860503329585749,9.574920854661942
0.003,5,-0.0006846800361193228,-0.0008638787232919665,-0.011629205640094953,7.159985332745774
0.003,6,-0.00010915188981619472,0.00040998616165,0.004254899474477658,7.76195282399142
0.003,7,-0.0023616499796580426,-0.0054092241215548675,-0.001066489380120328,5.301196366122347
0.003,8,-0.0005259136509322415,-0.0004407983706818941,0.005970985562822273,6.416342127434199
0.003,9,-0.0005953739444516382,-0.0020863801681103578,0.0027956069034374975,8.165288013746606
0.01,0,0.0008236006231581161,0.003379756663984379,-0.0019624566938643007,11.13020202165848
0.01,1,-0.00037707016481935973,0.0001380734710867415,0.001009324233394282,5.757604429401244
0.01,2,0.00032745566944836213,0.0007821317336235145,0.006366047745358094,8.38874733841755
0.01,3,-0.0002083808805580789,-0.00046762031520253267,0.005153446769135872,6.647767603964122
0.01,4,0.0001984579814839904,0.0032836839367315074,-0.009723854289071632,9.55488712878075
0.01,5,-0.0001984579814838794,0.00039495735229544415,-0.013895506361069843,7.237106146217769
0.01,6,0.0001190747888901722,-1.5140499904919835e-05,0.001110899511204133,7.746551020809695
0.01,7,-0.001280053980570961,-0.002819572786748048,-0.0020915068418246863,5.727722602000515
0.01,8,-0.000267918275003165,-0.00013293804500180695,-0.005827976078399688,6.54951049294144
0.01,9,2.976869722259856e-05,-0.00010793239318906966,0.0,7.948577818573371
0.03,0,0.0012105936870515643,0.0029637571011082997,-0.005366444769683509,8.988967048240896
0.03,1,-0.00034730146759676117,-0.0006806477786149845,-0.0009973970370010798,5.221539887761309
0.03,2,0.0007045258342677219,0.0004225219502245192,0.005618156353450532,7.106035934756323
0.03,3,2.976869722259856e-05,-4.623551627302991e-05,-0.004106900196285679,6.220805741139637
0.03,4,0.00024807247685476597,0.0021136933312647654,-0.0024027543769687965,8.078320257180915
0.03,5,-0.00020838088055818993,-0.00015190494900607643,-0.005405405405405461,6.284525528590223
0.03,6,0.00027784117407736453,0.0005135035748400352,0.0019968408190027542,6.756713105769874
0.03,7,-0.0006350655407483252,-0.0016630063619911262,-0.0010629697278198291,5.170843597613254
0.03,8,-3.969159629679808e-05,-5.227535074137091e-05,-0.0023598820058996495,5.733024157130361
0.03,9,0.0003274556694485842,0.0004218401500625246,0.007517435014944285,6.738800428172044
