,E0_anchor,E1_finance,E2_survey,E3_dx_text,E4_org_text,E6_manual,E7_cross,E0b_linear,E11_workforce_x
0,18.989217530364954,7.616979013763535,23.90064964939272,0.29284747247123244,5.6046889614087645,5.1453880384864,12.367094352797196,13.32076890129371,12.762366080021486
1,16.518529376657874,9.226278182646071,23.358767811550486,0.45631595112373075,9.421660857933478,5.859728312078195,13.27672303796033,15.199281042729707,6.682715427320132
2,19.769674989775748,8.425105066095782,15.376847755943695,1.6064568450395975,8.379775822301156,6.701168947159869,16.46102783607742,15.542440582519717,7.737502155087006
3,15.252971627300575,7.951595311922224,20.783956223375487,0.027362929002460405,10.12917672448856,6.949979404355054,16.420218230315268,16.00885636865535,6.475883180585015
4,13.513455092422438,5.156711321323444,18.519882914653255,0.45817720755002733,11.197101340880257,7.57141186178066,17.721377964745848,17.279506280295664,8.582376016348407
5,19.11355950046362,11.457287552022937,15.920483068217328,1.5529571759663905,5.790309567657745,6.198858774872706,16.685748789646794,17.523021186200182,5.7577743849523015
6,16.12019980776507,10.149587108455362,18.80445646503483,0.4583058601041011,7.507227917731043,5.354665303297993,14.497268373685005,20.89991254976189,6.2083766141647025
7,22.318574116771583,8.143617470725912,17.430834672072848,0.08435778513771156,9.67763833833534,3.6175380774644106,18.514152802999156,15.598315836745702,4.61497089974734
8,18.610052838477472,8.54418735140941,17.76269412220493,0.635848686354969,9.201063782413756,4.947290874659519,16.052722572792966,17.963377849057775,6.282761922629207
9,18.63709852621961,10.514182010865811,21.390528984135404,0.3069832613312987,5.455067134231197,4.800587894160184,13.030106649524972,17.97517069597781,7.890274843553721
