alpha,seed,d_auc,d_ap,d_f1,e11_weight_pct
0.001,0,0.00012899768796459377,0.0032631282530773964,-0.00973969577408862,12.12474943372297
0.001,1,-0.0006152197426001482,-0.0002837320551311029,0.0010808863267879332,5.964585092063542
0.001,2,0.0002976869722259856,0.001038367864285461,-0.003217342189365535,8.547864014430942
0.001,3,-0.00034730146759676117,-0.00022060020858460927,-0.0010178117048346147,5.376243451797301
0.001,4,0.00033737856852256165,0.003324893369196169,-0.008386983289357941,8.996282376760496
0.001,5,-0.0006549113388969463,-0.0007908522452546585,-0.00848824378236146,6.891635956753001
0.001,6,2.9768697222709584e-05,0.0004193867302764165,0.005299782407307663,6.520272036561207
0.001,7,-0.0029471010250355922,-0.006431187732369947,-0.0032429558745348253,5.567680916691251
0.001,8,-0.0001984579814838794,-4.9839324367639826e-05,0.010227272727272751,7.535968295578864
0.001,9,-0.0007442174305645199,-0.002511583771053205,0.006330257329296263,7.355712085844877
0.003,0,0.0006152197425998152,0.0038168090799790555,-0.0032837454599731197,12.190515088310972
0.003,1,-0.00048622205463544343,-0.000327021302746644,0.003275710605857518,6.611568688164323
0.003,2,0.00038699306389355925,0.0013796587298394725,-0.005207453695884712,9.001379618428166
0.003,3,-0.00010915188981619472,9.979439674734358e-05,0.004081632653061273,6.28802814559601
0.003,4,0.0005259136509323525,0.0043569916875091375,-0.009594280607685413,9.631587192151551
0.003,5,-0.00038699306389355925,-0.0005383739208820737,-0.012715254094564532,7.43953313142563
0.003,6,-1.984579814839904e-05,0.00023645920687442867,0.003131376105191541,7.006664899705207
0.003,7,-0.0026097224565129196,-0.005931164948027479,0.0020997375328084544,6.1367835061752505
0.003,8,-0.0003274556694482511,-0.00010124412520928772,0.004791558401522011,7.912739730820324
0.003,9,-0.00047629915556135494,-0.0016689454966863915,0.0009368972168641854,7.74048706760289
0.01,0,0.001051827301864594,0.003577690200342931,-0.0019624566938643007,11.206581056913556
0.01,1,0.0001885350824097909,0.001489973099471631,-0.001975898912035867,6.722424489408858
0.01,2,0.00034730146759665015,0.0007252495159150163,0.0010610079575595899,8.757708173580353
0.01,3,-0.00032745566944836213,-0.000643578429477043,0.005102040816326481,6.920799095255662
0.01,4,0.0001488434861129928,0.003024779794785104,-0.009579710144927533,9.49008289867762
0.01,5,2.976869722259856e-05,0.0004552603527607779,-0.012860030680563739,7.399702702895242
0.01,6,0.00032745566944836213,0.00016313835759729223,0.0009316023560523856,7.116494570989474
0.01,7,-0.0012304394851999634,-0.0027499557504024885,-0.0020915068418246863,6.548332270911525
0.01,8,-0.00021830377963227843,-4.4612064570292986e-05,-0.009479099215770836,7.590767930597183
0.01,9,0.0001091518898160837,-0.00020545677453831512,-0.00047348484848486194,7.598996363714225
0.03,0,0.0011709020907547663,0.0025478166811080394,0.001392866644756463,8.936027657036668
0.03,1,9.92289907419952e-05,0.00034526362564801794,-0.001980198019801982,5.839401772721905
0.03,2,0.0006449884398226358,0.0004022423008795961,0.005618156353450532,7.294472882366541
0.03,3,0.00027784117407736453,0.00046099155106460454,-0.0042549934950639745,6.353438179084154
0.03,4,0.0002579953759289655,0.0019463379185080676,0.00032992865292880147,7.932421725223592
0.03,5,-3.9691596296909104e-05,0.00015996977540611024,-0.005405405405405461,6.358564957370478
0.03,6,0.0003076098712999631,0.00032945859310862247,0.005364480009510508,6.304474666281007
0.03,7,-0.0005953739444515271,-0.0017946471710934553,-0.00322503583373146,5.678932725810711
0.03,8,0.00020838088055818993,0.00011583566261808009,-0.0012235183695360474,6.354555802514005
0.03,9,0.0004068388620420693,0.00042615503263365717,0.002052954140627339,6.490474615136442
