dim,C,auc,ap,f1,th
3072,1.0,0.7116703216011591,0.41431329154699614,0.4931506849315068,0.2699999999999999
1024,1.0,0.7056471218631236,0.41421657142416257,0.4840182648401826,0.2699999999999999
3072,0.3,0.7093185945205751,0.41252937791805916,0.48928571428571427,0.23999999999999988
1024,0.3,0.703156474195501,0.41213379026198727,0.48028673835125446,0.23999999999999988
3072,0.1,0.7062127271103525,0.4109999935949293,0.48180242634315423,0.23999999999999988
1024,0.1,0.6998521488037944,0.41072259109898945,0.47038327526132406,0.23999999999999988
3072,3.0,0.710082657749288,0.4102129792931596,0.4956896551724138,0.2599999999999999
512,1.0,0.7037022336445817,0.4098797119805265,0.4855072463768116,0.23499999999999993
1024,3.0,0.7033549321769849,0.40948062504670996,0.481651376146789,0.27999999999999986
512,0.3,0.7018367286186332,0.40919431808359275,0.47957371225577267,0.23999999999999988
3072,0.03,0.7016085019399267,0.406120850324355,0.46905537459283386,0.23999999999999988
1024,0.03,0.6955059190092977,0.4060820388162094,0.4630541871921182,0.23999999999999988
512,3.0,0.7017374996278912,0.40381763302102375,0.4936708860759494,0.2549999999999999
512,0.03,0.6931641148277881,0.40241727965678215,0.46178861788617886,0.23999999999999988
512,0.1,0.6967661271917203,0.4022015676779769,0.4724137931034483,0.23999999999999988
256,1.0,0.6928664278555623,0.3897703217724782,0.4778761061946903,0.22999999999999993
256,0.3,0.6920229814342558,0.388222636568507,0.4729981378026071,0.24499999999999988
256,0.1,0.6889667285194043,0.3878918700481816,0.4694835680751174,0.23499999999999993
256,0.03,0.6861387022832591,0.38553285837007034,0.4605475040257649,0.23999999999999988
256,3.0,0.686386774760114,0.38340456559137526,0.47173489278752434,0.23999999999999988
