auc,ap,f1,th,th_fold_std,logloss
0.8596207467973844,0.6995757787647572,0.6627906976744186,0.33499999999999985,0.06949820141557618,0.386185484828933
0.8658225587187554,0.6939879843785458,0.6630727762803235,0.28499999999999986,0.05580322571321478,0.3788132075518035
0.8689482719271262,0.7005228299904709,0.655367231638418,0.3049999999999999,0.07234638899074364,0.3769860798411181
0.8669041547178423,0.7026922814681188,0.6861702127659575,0.28499999999999986,0.04472135954999577,0.3777808570910351
0.8424640542981038,0.6709530868573937,0.63,0.24499999999999988,0.07110555533852465,0.3994173191352955
0.8583803844131102,0.690563414265085,0.6423357664233577,0.21999999999999992,0.03168595903550969,0.3873720031216087
0.8823441856772876,0.7265131014823039,0.699724517906336,0.2749999999999999,0.08535806933149315,0.3628487160551451
0.8679361362215585,0.7151332016236241,0.6697892271662763,0.2099999999999999,0.06622688275919375,0.3769342766072058
0.8625976165196423,0.6908832296398931,0.6650717703349283,0.21999999999999992,0.04892851929090024,0.38189940928620414
0.8801710707800391,0.7298074320421428,0.6649616368286445,0.23499999999999993,0.06289674077406551,0.3657047676464769
0.8487154807148456,0.6510690381460342,0.6401869158878505,0.19499999999999995,0.050950956811427965,0.4024935233961627
0.872113676731794,0.7042981209427855,0.6699751861042184,0.23499999999999993,0.062128898268036234,0.3751644764333972
0.8784047947448326,0.7235378232624635,0.6994818652849741,0.24499999999999988,0.055081757415681616,0.36697336105149847
0.8665866219474682,0.6970697683381344,0.6502463054187192,0.21999999999999992,0.07529940238806676,0.38051972237140647
0.871190847117894,0.7017698227128426,0.6621315192743764,0.15499999999999997,0.057930993431840924,0.3791708416486239
