,E0_anchor,E1_finance,E2_survey,E3_dx_text,E4_org_text,E6_manual,E7_cross,E0b_linear,E10_profit_dx
0,21.72263227683585,9.491054430365738,22.73361505471615,0.2954269391172982,10.414102948201423,5.472319121386205,14.152401896442033,15.520119456376408,0.1983278765589118
1,16.51000284395931,10.137485560424613,23.008956980971032,0.16471139994436357,14.750603398470389,6.543288348031477,13.107107165747403,15.274912165245514,0.5029321372058952
2,21.722255890362554,10.247207881769189,16.146987421503056,0.5566701161948924,8.525420563930952,7.056866229801835,19.043536610101363,16.701055286336157,0.0
3,15.547728266808235,8.499484911463973,21.409867542813725,0.0,14.551056131206064,6.982879723501132,16.49896614749719,16.510017276709682,0.0
4,13.893120396585038,6.122485874105407,18.670440725366973,0.14643962688179238,14.762307553040795,7.338921775569389,18.188099969499188,19.4788457094886,1.3993383694628199
5,18.48995774121346,12.35923782769711,17.41688620166497,0.8749313943644917,8.745355975626001,6.302206139328431,16.407454940965263,17.967694027556803,1.4362757515834697
6,16.838202736843712,10.705672116556602,20.05694672927612,0.0,10.268422808499599,4.934415087355448,15.093145275407283,22.103195246061244,0.0
7,21.365406970093677,8.029405066723958,19.137880971323717,0.0,15.165025172816826,3.0776049807835197,17.980387785991404,15.222834385089183,0.021454667177700025
8,18.65637534735738,9.398429163465014,19.024010998369086,0.5381884591021551,12.117591944405849,5.0450413270458245,16.227953701654396,18.992409058600305,0.0
9,17.57881074353999,11.226119830364418,24.50054208382949,0.1528495335720862,13.07691964674789,4.017270468300186,12.16199430282026,17.285493390825675,0.0
