auc,ap,f1,th,th_fold_std,logloss
0.8646218879307778,0.6953842030561556,0.6649350649350649,0.23999999999999988,0.04340506882842137,0.3837063326719258
0.8726098216855037,0.7032116032275032,0.6839378238341969,0.2599999999999999,0.05192301994298865,0.37522759529091193
0.8746440159957133,0.706238186740098,0.6586538461538461,0.19499999999999995,0.09412757300600069,0.3739103526638606
0.8661103227919068,0.6936277694159506,0.6728971962616822,0.2049999999999999,0.07492663077971674,0.37937590672776
0.8618533990890779,0.6889884917371074,0.6410835214446953,0.17999999999999994,0.08652167358529303,0.3838564554969749
0.8635899064270618,0.6908053341711232,0.6564885496183206,0.22499999999999992,0.0845221864364617,0.3852575725320458
0.8848447562439841,0.7272535816469394,0.6915422885572139,0.22999999999999993,0.10630145812734644,0.35857437812325493
0.8723716721077229,0.7189310413069349,0.6610169491525424,0.31499999999999984,0.08869047299456685,0.37286166580211405
0.866844617323397,0.697318059941926,0.6682464454976303,0.2099999999999999,0.06442049363362559,0.38026772450565666
0.8943508935570617,0.7520808318115166,0.7103825136612022,0.28999999999999987,0.03992492955535423,0.34824102957187636
