auc,ap,f1,th,th_fold_std,logloss
0.9300931760223067,0.8242726964736506,0.7317073170731707,0.2099999999999999,0.04636809247747848,0.2859023774904908
0.9317403772686228,0.8320449911676819,0.7382198952879581,0.2599999999999999,0.06204836822995424,0.28186692161278615
0.9339234150649454,0.838797339122394,0.7424242424242424,0.2149999999999999,0.150910569543687,0.27619716276453427
0.9248141937148356,0.8135632907238376,0.7244094488188977,0.2699999999999999,0.06196773353931864,0.29386643074658775
0.9180765452434583,0.7940974440218305,0.6994818652849741,0.2549999999999999,0.2193946216296105,0.30971893674673867
0.9348660904769938,0.8365486626400114,0.7277227722772277,0.18999999999999995,0.16429850881855249,0.28064230910788046
0.9318594520575131,0.8374565807795381,0.7383720930232558,0.37999999999999984,0.10288828893513581,0.2814259887801857
0.9280986733083938,0.8295973791296045,0.7282321899736148,0.2499999999999999,0.06730527468185533,0.2864260409261502
0.9363247566409002,0.8354259055006894,0.7320954907161804,0.2649999999999999,0.1519407779366684,0.2763105820625933
0.938775712712226,0.8394763588853688,0.7507002801120448,0.3099999999999999,0.0839404550857332,0.2695977297997345
