dim,C,auc,ap,f1,th
3072,3.0,0.7962233446123619,0.5452097477600939,0.5898617511520737,0.2949999999999999
256,1.0,0.7899024579021006,0.5441848339854475,0.5770925110132159,0.27999999999999986
512,1.0,0.7946952181549363,0.5428034332175729,0.5901639344262295,0.3049999999999999
256,3.0,0.7862508310427975,0.5395978534260939,0.5765765765765766,0.28499999999999986
3072,1.0,0.7949730593290136,0.5390716160708834,0.5964125560538116,0.28499999999999986
512,0.3,0.7923534139734264,0.5368701200337793,0.5859030837004405,0.2749999999999999
1024,1.0,0.7950325967234588,0.5360531248379836,0.589622641509434,0.3049999999999999
512,3.0,0.7923236452762038,0.5358212129882262,0.584070796460177,0.2749999999999999
256,0.3,0.7876301140141104,0.5332860137665592,0.5764966740576497,0.2749999999999999
1024,3.0,0.7944669914762297,0.5328537086720767,0.5949656750572082,0.2949999999999999
512,0.1,0.7903688341585878,0.5311278101519329,0.5814977973568282,0.2599999999999999
3072,0.3,0.7916290423410104,0.5296459556630894,0.5931372549019608,0.2999999999999999
1024,0.3,0.7918870377169394,0.5281225003255536,0.5938242280285035,0.28999999999999987
512,0.03,0.7894956190400586,0.5280610050873157,0.5766590389016019,0.2499999999999999
256,0.03,0.7862111394465008,0.5243595625146897,0.5714285714285714,0.2499999999999999
256,0.1,0.7861615249511297,0.5235814124991718,0.5707656612529002,0.2649999999999999
3072,0.1,0.7895055419391329,0.5220609813771478,0.5938242280285035,0.2699999999999999
1024,0.1,0.7898528434067297,0.521631674066446,0.5839080459770115,0.2649999999999999
3072,0.03,0.7887514016094942,0.5205679288907339,0.5855855855855856,0.2499999999999999
1024,0.03,0.7893467755539458,0.5188529364784813,0.5804988662131519,0.2499999999999999
