,E0_anchor,E1_finance,E2_survey,E3_dx_text,E4_org_text,E6_manual,E7_cross,E0b_linear,E11_workforce
0,19.162929930380955,7.534224938724026,23.839116927637765,0.35254596350200035,5.6820770783329255,4.7641683971363005,12.4703858982587,13.464625663254484,12.729925202772833
1,16.935136634093045,9.444021531092611,22.290298788268643,0.26559410803977035,10.059960611994672,6.042504346978678,13.562031907207828,15.773703053699432,5.626749018625323
2,18.56961868921268,8.52072030823571,16.399925115407207,2.17299338831195,10.792241482520973,6.027918218950821,15.831777493471316,14.67039590173076,7.014409402158583
3,16.351992772850803,8.29888561841774,19.93349587516309,0.22019694726609843,8.550434097531543,6.9309401713073,16.906781707063864,16.77190508485367,6.035367725545887
4,14.405925593533201,5.023552191293623,17.279905672715653,0.5364360788882028,11.144928456045918,7.097894808724425,18.206636849431373,17.85705068654215,8.447669662825463
5,20.38763849704678,11.155377683011931,14.456392192767403,1.4136512598819322,4.990339905366761,6.179605439122888,17.42341122896555,18.249595928445945,5.743987865390804
6,14.945016992775495,9.64900607921708,20.603198291945766,0.055401216564279016,8.582004589398043,4.618686972964307,13.935991094058567,20.458673900094187,7.152020862982268
7,21.538011122421665,8.113188522477666,18.4628865013484,0.055737941951839655,10.613899924518467,3.747402200926512,18.131227095950887,15.300701553783174,4.036945136621364
8,18.683971906022435,8.677478459157227,17.772958521388585,0.6281129918023183,9.672180137004146,4.920546813274588,16.150939448699155,18.231739125567863,5.262072597083667
9,19.528093025934588,9.627765914697644,20.939894467811296,0.3107265883609187,5.54228579467537,3.6533814299314944,13.707273242383241,18.7165233557388,7.974056180466638
