,n_feat,auc,ap,f1,th
E0_anchor,94,0.9295672623713743,0.8332380683722281,0.7329842931937173,0.23999999999999988
E1_finance,32,0.825912658642349,0.6245766996373179,0.5957446808510638,0.28499999999999986
E2_survey_lr,12,0.6805818788017107,0.4283381785957022,0.4662813102119461,0.22999999999999993
E2_survey_lgbm,12,0.6445964853091479,0.3804167425324994,0.4273789649415693,0.22999999999999993
E3_dx_text,1,0.7894360816456136,0.5063149069611423,0.5916230366492147,0.31999999999999984
E4_org_text,1,0.6094843069351141,0.3437368072528183,0.4103448275862069,0.22999999999999993
E6_manual,48,0.8252577473034521,0.6257135886905402,0.6070460704607046,0.3599999999999998
