auc,ap,f1,th,th_fold_std,logloss
0.8554531291862228,0.6931072824714091,0.6470588235294118,0.27999999999999986,0.07788452991448298,0.39112338984628536
0.87160760887901,0.7207752755029753,0.6788511749347258,0.2699999999999999,0.04973932046178351,0.36887882216902335
0.8688093513400874,0.7000553915344838,0.66,0.23999999999999988,0.03529872518944555,0.3750588187664266
0.8662690891770939,0.7089577945264736,0.6598984771573604,0.2549999999999999,0.10443179592442135,0.37669070947978184
0.857199559423281,0.6744392039699029,0.6411483253588517,0.2149999999999999,0.06480740698407855,0.38954543370377465
0.8625182333270488,0.6953613517308153,0.6633906633906634,0.21999999999999992,0.06151422599691877,0.38631050084319024
0.8812030522837552,0.72777513559627,0.6726190476190477,0.36999999999999983,0.0701854685814663,0.3602781753473142
0.8690177322206455,0.7176231176436003,0.6703296703296703,0.3049999999999999,0.08440379138403672,0.3744851687557685
0.8641654345733648,0.6965218518460031,0.642512077294686,0.21999999999999992,0.10143963722332602,0.38090166661336844
0.8782361054605713,0.7331876525884027,0.6839622641509434,0.17999999999999994,0.06742403132415026,0.367680261356129
0.8522778014824811,0.6759187795131104,0.6472019464720195,0.22999999999999993,0.07447147104764343,0.3924061339341421
0.8727487422725424,0.7069313820327476,0.6684491978609626,0.28999999999999987,0.039242833740697154,0.37278274146556106
0.8753882334262779,0.7147114906168195,0.6684636118598383,0.28999999999999987,0.05268775948927793,0.36823675792415733
0.8675689889558134,0.7030157544248012,0.654911838790932,0.2499999999999999,0.07767882594375376,0.37672060591029927
0.8655645633428263,0.7041196293201647,0.6648793565683646,0.27999999999999986,0.02939387691339812,0.3807259535505245
