variant,verdict,dap_mean,dap_n_pos,dauc_mean,dauc_n_pos,df1_mean,df1_n_pos
S1_fill,PARK (AUCは改善だがF1関連のAPが未達→保留・組合せで再検証),0.00015826368211502572,11,0.0003889776437083825,19,0.00046556180468552424,9
shape,REJECT (ノイズと区別できず),-0.00014336402147925863,7,-0.0004371037042182335,10,0.004745677924152097,15
step,ACCEPT (明確),0.015099902134141144,20,0.009865346259563184,20,0.010987351656544622,19
gap,REJECT (F1悪化: ガードレール違反),-0.009425025747930155,0,-0.00603163420224852,0,-0.0034357341497196795,3
all,PARK (AUCは改善だがF1関連のAPが未達→保留・組合せで再検証),0.0020084188130853027,12,0.003939887077408511,15,0.007460577622757997,16
shape+fill,REJECT (ノイズと区別できず),0.0003920161915446113,8,1.9349653194689066e-05,10,0.004305567385396464,14
step+fill,ACCEPT (明確),0.01566892967909591,20,0.009971521279657104,20,0.011669225973611325,19
gap+fill,REJECT (F1悪化: ガードレール違反),-0.009417634367696201,0,-0.005972592952757072,0,-0.003096039646244747,4
all+fill,PARK (AUCは改善だがF1関連のAPが未達→保留・組合せで再検証),0.002162605983978097,13,0.004016293400279797,16,0.007956449153732503,16
