,E0_anchor,E1_finance,E2_survey,E3_dx_text,E4_org_text,E6_manual,E7_cross,E0b_linear,最大|r|
lgbm,0.8184586741738106,0.5509711362582153,0.014786004059388728,0.630412672133989,0.22136333549681186,0.681423408697737,0.5259039013718427,0.7099306595562608,0.8184586741738106
lr,0.7493677251416148,0.5015406295339294,0.03787589193248902,0.7920388114547171,0.09906368669722367,0.6882674957283251,0.5865948697366992,0.7698726165007285,0.7920388114547171
