,E0_anchor,E1_finance,E2_survey,E3_dx_text,E4_org_text,E6_manual,最大|r|
lgbm,0.6483738848397542,0.6410703488097944,0.293804504639561,0.4526860627494013,0.09055568910340554,0.4144244690902607,0.6483738848397542
lr,0.6267950327915498,0.6414402323768835,0.33655217024525536,0.5017659869297331,0.06866661307780739,0.4029366939667781,0.6414402323768835
