dim,C,auc,ap,f1,th
1024,0.1,0.6904750091786817,0.39792458024868327,0.4780316344463972,0.23999999999999988
3072,0.3,0.6991178542723042,0.39770921019531474,0.49391304347826087,0.23499999999999993
3072,0.1,0.6979469521815493,0.39734795182768856,0.4788732394366197,0.23999999999999988
3072,0.03,0.6952181549361461,0.396699050647081,0.47333333333333333,0.23999999999999988
1024,0.3,0.6924397431953719,0.39637095188610766,0.48403361344537815,0.22999999999999993
512,0.3,0.6925885866814848,0.3960650527865876,0.4810126582278481,0.23999999999999988
512,0.1,0.6904154717842366,0.3953098920320101,0.46935201401050786,0.23999999999999988
3072,1.0,0.6980263353741429,0.3951901274185016,0.4915572232645403,0.23999999999999988
1024,0.03,0.6878057493277235,0.3950680992957102,0.47058823529411764,0.23999999999999988
512,0.03,0.6873790646675333,0.39352580733063924,0.4713804713804714,0.23999999999999988
1024,1.0,0.6915268364805462,0.3928925272793262,0.4953789279112754,0.23499999999999993
512,1.0,0.692697738571301,0.39203274395898136,0.4915572232645403,0.23499999999999993
3072,3.0,0.689522410867559,0.38079218403444914,0.4897196261682243,0.22499999999999992
1024,3.0,0.6826855334054397,0.37801883121868995,0.47126436781609193,0.22999999999999993
512,3.0,0.683052680671185,0.3779085351746381,0.47882136279926335,0.21999999999999992
256,0.1,0.6834495966341526,0.3775490500107517,0.4627831715210356,0.23499999999999993
256,0.3,0.6838961270924913,0.3766345302944067,0.4735945485519591,0.22999999999999993
256,0.03,0.6811276382507914,0.3764986004267218,0.46488294314381273,0.23999999999999988
256,1.0,0.6797582781785525,0.36809309393551326,0.4700162074554295,0.2049999999999999
256,3.0,0.6652708455302301,0.35585004191362873,0.45595854922279794,0.1999999999999999
