seed,variant,auc,ap,f1,th
0,exp032,0.9475177867965905,0.8539968970066386,0.7853107344632768,0.4199999999999998
0,exp032+H34,0.9489268384651259,0.8586974661820637,0.7888888888888889,0.4099999999999998
0,H34単体,0.8467705924963037,0.660491876648,0.6274509803921569,0.2099999999999999
1,exp032,0.952310547049426,0.8677073130467187,0.7960199004975125,0.28999999999999987
1,exp032+H34,0.9518640165910873,0.8663380168313899,0.7960199004975125,0.28999999999999987
1,H34単体,0.8494596981454102,0.65629715447311,0.641860465116279,0.23999999999999988
2,exp032,0.9523403157466486,0.88015094689436,0.8057142857142857,0.4249999999999998
2,exp032+H34,0.9533326056540679,0.8817408121473501,0.7969924812030075,0.28499999999999986
2,H34単体,0.8473709278902923,0.6482237508775321,0.6355555555555555,0.2149999999999999
3,exp032,0.9526578485170227,0.8659042989283895,0.7896103896103897,0.3049999999999999
3,exp032+H34,0.9533623743512906,0.8694523970930519,0.7906976744186046,0.3049999999999999
3,H34単体,0.8425483989402344,0.6525495876868798,0.6258205689277899,0.21999999999999992
4,exp032,0.9460988122289808,0.8466905651747978,0.7891891891891892,0.3949999999999998
4,exp032+H34,0.9460293519354614,0.8494951546014943,0.7925531914893617,0.37999999999999984
4,H34単体,0.8453367335800827,0.6617890925048123,0.6190476190476191,0.2099999999999999
5,exp032,0.9493634460243905,0.8687099700216105,0.7917737789203085,0.31499999999999984
5,exp032+H34,0.951437331930897,0.8728833214869349,0.7978436657681941,0.3649999999999998
5,H34単体,0.8585986881927423,0.6699443178666444,0.6382978723404256,0.2049999999999999
6,exp032,0.9532036079661034,0.8740397407205913,0.8022922636103151,0.4149999999999998
6,exp032+H34,0.9546424283318615,0.8772355905166274,0.798941798941799,0.32499999999999984
6,H34単体,0.8355180249461682,0.6420206547782362,0.6139954853273137,0.23999999999999988
7,exp032,0.950107663454955,0.855272421194359,0.8042895442359249,0.3649999999999998
7,exp032+H34,0.9513182571420066,0.8610264064618407,0.8053333333333333,0.3649999999999998
7,H34単体,0.845966837671294,0.6506741593264265,0.6272727272727273,0.24499999999999988
8,exp032,0.9511793365549678,0.8657458568086736,0.8047337278106509,0.5099999999999998
8,exp032+H34,0.951238873949413,0.8664499993038196,0.8,0.5099999999999998
8,H34単体,0.8511763596852455,0.6528680272417937,0.6336206896551724,0.2049999999999999
9,exp032,0.9570437699078163,0.8776289403663924,0.8062015503875969,0.3099999999999999
9,exp032+H34,0.9570536928068906,0.8776372240793491,0.8062015503875969,0.3099999999999999
9,H34単体,0.8495490042370778,0.6488920632033078,0.631578947368421,0.18999999999999995
